id,quality
1257,7
6409,5
136,5
1631,7
6084,6
5434,5
1094,5
5146,6
5921,7
1076,6
616,6
4336,6
219,6
6403,5
2397,7
5240,5
3696,6
1070,6
5890,5
1270,5
4641,5
5299,6
2494,5
5276,7
332,5
3671,5
6367,6
5681,6
1741,6
4715,6
1114,6
4105,6
825,6
88,6
4551,6
227,5
1369,6
3722,6
2341,6
4882,7
2382,5
4075,6
687,5
2350,5
2634,5
5751,5
5934,6
6286,5
6004,5
4696,6
5628,6
3066,5
6267,5
3950,5
1834,5
848,6
5852,5
3034,5
1074,6
1184,5
3788,6
3267,7
5640,5
2076,5
4634,5
2075,6
5741,6
5008,6
1485,5
2010,6
1899,5
3514,6
5819,5
5040,6
3998,5
6425,6
1733,5
2925,6
1528,5
2332,6
3492,5
6177,5
5338,6
2599,6
512,5
5118,6
4024,7
1095,5
965,6
1163,5
5773,6
4154,5
2968,5
2294,6
2652,6
4632,5
4585,5
754,5
3471,7
3506,5
1513,6
210,6
664,5
6414,6
2418,5
2468,6
1127,6
4820,5
495,6
6256,5
2732,5
3053,6
2954,5
3663,5
4410,6
2153,4
4691,6
2971,6
2616,5
102,5
1610,5
3766,6
3072,6
2951,6
2087,5
4593,6
6184,5
3347,6
2806,6
3083,6
1815,5
4814,5
6316,6
6480,6
6471,5
3173,6
3539,5
1247,5
2778,6
3534,6
963,7
708,6
4145,5
1594,6
5734,5
1304,7
3748,7
6189,5
3245,6
3697,6
1859,5
475,5
4161,6
775,5
2486,6
2791,6
3583,6
6186,7
5924,6
4788,5
2589,6
5305,6
3164,5
451,6
2376,5
13,6
4807,5
2748,5
4499,6
5033,5
2910,5
5570,6
2488,7
4109,6
4195,5
1881,6
2242,6
758,7
1474,6
5610,5
5587,5
1970,6
2657,5
4859,5
4333,6
6492,6
543,5
4270,6
3804,6
450,6
2786,6
3967,6
5568,6
2682,5
2277,5
3946,5
4308,5
856,6
1279,5
3987,5
5536,6
345,7
2172,6
2834,5
1286,6
6350,5
1908,7
5070,5
2933,7
1486,6
4128,5
1882,5
2937,7
4329,5
3839,5
4457,6
2773,6
4055,5
2437,7
1307,5
2912,7
987,6
5726,5
5554,5
3931,5
31,6
2800,6
3738,6
2716,5
270,5
5752,5
6226,5
3880,6
1258,6
2441,5
5410,6
5912,7
1411,7
3584,6
6234,5
4577,5
5471,5
2354,5
4310,6
4225,6
521,5
2938,6
5865,5
5590,5
372,6
6059,5
167,6
5936,6
5411,5
3507,5
3654,6
759,6
4614,6
4273,5
64,5
5986,7
4396,5
4671,7
3488,5
1642,5
3585,5
5097,6
4275,5
3157,7
3754,7
1045,6
4171,6
5257,5
277,7
3156,7
2513,5
6224,6
6300,6
2538,6
817,5
5565,5
4531,6
5999,6
2424,5
1056,5
2361,7
1896,5
804,6
4521,6
2337,6
980,5
3817,5
5550,6
2979,6
3357,6
2168,6
4570,6
4485,6
1830,6
4891,5
3284,6
1248,7
3168,5
2071,5
288,6
5346,5
4146,5
961,6
610,6
4727,7
479,6
4092,6
5548,6
5666,5
2394,5
3528,6
192,7
5749,6
3087,6
2813,5
3274,6
5594,6
1805,5
5193,6
436,5
400,6
356,6
4983,7
6441,6
4676,6
1191,5
5790,5
1314,5
2624,5
5625,6
3846,5
1718,6
4376,6
1837,6
5659,6
4591,6
1892,6
742,6
702,6
2174,5
172,6
255,6
1173,6
5078,6
425,5
3670,7
3355,5
662,7
2425,5
686,7
2836,6
292,7
1501,7
2282,7
2935,5
3934,6
3297,6
337,6
4643,7
3957,5
6133,5
5225,6
5913,6
4929,6
3364,7
1004,5
2201,7
5390,5
4444,5
4232,6
3204,5
2899,7
1640,6
974,5
5186,6
1680,7
4996,5
2302,5
5404,7
333,6
4023,5
2710,5
731,5
4424,6
4900,6
2195,6
5774,6
1431,6
3571,6
3940,6
3071,6
3502,6
4107,6
4223,6
2327,7
4181,5
216,6
5044,6
1898,5
3887,6
3740,6
419,6
5989,6
5266,5
2405,6
89,6
4832,5
5611,6
3391,6
464,5
1944,7
6080,5
1490,5
2873,5
145,5
3679,5
2444,5
1847,7
6280,6
185,7
3674,6
1268,7
5742,5
5034,6
1346,6
1773,5
5481,6
5343,6
2537,7
3711,6
1246,5
1867,7
480,5
2506,6
2613,5
5048,6
3044,6
592,6
3659,6
3214,6
1960,5
283,6
975,6
1422,5
4642,5
1716,5
3249,6
6272,6
1928,5
3149,5
2739,7
4687,6
3907,5
2291,7
1214,5
3774,5
4406,6
4940,6
6222,5
2399,5
1221,6
3452,6
2227,7
2807,6
3994,5
4302,5
629,6
540,6
4792,5
2324,6
4211,6
5007,6
4913,6
4695,6
4170,6
420,6
5013,5
3648,6
1219,5
1649,5
4745,5
181,5
3256,6
5704,6
3936,5
4575,5
104,6
3409,8
2156,6
2483,5
4568,5
2278,5
2869,6
4692,5
6139,6
3601,5
1227,6
1518,5
123,5
65,5
2991,5
852,6
4197,6
1728,6
1300,5
1018,5
6462,5
841,7
3831,5
86,6
5828,5
4594,6
1352,5
1670,5
5409,6
1406,6
1776,5
196,5
2875,5
1047,5
285,6
115,5
1958,7
5882,6
6323,6
5268,6
4601,6
4993,6
3706,5
4212,5
397,6
6027,6
507,6
5479,5
4509,6
2315,6
2029,5
3097,6
2231,5
4864,5
2281,6
2609,6
4987,6
1137,6
4083,5
3111,5
964,7
2158,6
911,6
5115,6
5772,6
5873,6
523,5
5006,6
5235,6
5796,7
2192,5
5914,6
472,6
1888,6
4889,6
6296,6
1051,6
3222,5
4294,6
786,6
1531,6
559,5
4917,5
2543,5
5561,5
632,5
6434,6
2856,5
822,6
3564,6
2120,6
2045,7
4048,5
3972,6
1863,5
137,5
2433,5
4300,5
4291,6
3902,5
3025,5
1053,5
5723,6
1880,5
4253,5
3737,6
1329,6
2725,5
3883,5
241,6
4527,5
3271,6
3464,5
5957,6
4970,5
6463,5
2421,6
950,7
5770,6
5802,5
4738,6
2364,6
5874,4
2144,6
1207,6
4088,6
3188,6
3421,5
2097,6
4652,5
620,6
3848,6
2646,6
4514,5
2884,6
732,5
4393,6
5908,6
2765,6
5745,5
5535,6
132,5
5418,5
4058,5
6260,6
118,7
2696,6
650,5
3352,5
1282,5
111,6
108,6
2853,6
4052,6
4248,5
5662,5
5331,6
3038,5
4946,6
4103,5
6201,6
3382,6
6049,6
4867,7
155,6
1715,6
432,5
5263,8
5617,6
